id,item_num,key_field,qty,name,category,serial_no,turnover_ytd,turnover_ltd,repair_cost_ytd,sell_price,current_store,inactive,pos_store_code,rfid_rental_class_num
66171,64638.0,,0,4 PRONG LITE ADAPTER,"Sales, Merchandise Equip.",,0.0,0.0,0.0,7.95,2.0,0,,
66172,64640.0,,0,"SCRATCH PAD, 16""","Sales, Merchandise Equip.",,0.0,0.0,0.0,14.95,0.0,0,,
66173,64641.0,,0,"SCRATCH PAD, 16""","Sales, Merchandise Equip.",,0.0,0.0,0.0,14.95,2.0,0,,
66174,64643.0,,0,HITCH INSTALLATION,"Sales, Merchandise Equip.",,0.0,0.0,0.0,40.0,0.0,0,,
66175,64644.0,,0,HITCH INSTALLATION,"Sales, Merchandise Equip.",,0.0,0.0,0.0,40.0,2.0,0,,
66176,64646.0,,0,MISC.HITCH PARTS SALE,"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.0,0.0,0,,
66177,64647.0,,0,MISC.HITCH PARTS SALE,"Sales, Merchandise Equip.",,0.0,0.0,0.0,0.0,2.0,0,,
66178,64649.0,,0,SMALL SIZE BOX 12X12X18,"Sales, Merchandise Equip.",,0.0,0.0,0.0,2.0,0.0,0,,
66179,64650.0,,0,SMALL SIZE BOX 12X12X18,"Sales, Merchandise Equip.",,0.0,0.0,0.0,2.0,2.0,0,,
66180,64652.0,,0,MEDIUM SIZE BOX 18X18X16,"Sales, Merchandise Equip.",,0.0,0.0,0.0,3.0,0.0,0,,
66181,64653.0,,0,MEDIUM SIZE BOX 18X18X16,"Sales, Merchandise Equip.",,0.0,0.0,0.0,3.0,2.0,0,,
66182,64655.0,,0,LARGE SIZE BOX 18X18X24,"Sales, Merchandise Equip.",,0.0,0.0,0.0,3.99,0.0,0,,
66183,64656.0,,0,LARGE SIZE BOX 18X18X24,"Sales, Merchandise Equip.",,0.0,0.0,0.0,3.99,2.0,0,,
66184,64658.0,,0,"BOX TAPE, 2"" X 165',CLEAR","Sales, Merchandise Equip.",,0.0,0.0,0.0,2.5,0.0,0,,
66185,64659.0,,0,"BOX TAPE, 2"" X 165',CLEAR","Sales, Merchandise Equip.",,0.0,0.0,0.0,2.5,2.0,0,,
66186,64661.0,,0,"PERMA-WRAP, 2"" X 60"" KIT","Sales, Merchandise Equip.",,0.0,0.0,0.0,19.99,0.0,0,,
66187,64662.0,,0,"PERMA-WRAP, 2"" X 60"" KIT","Sales, Merchandise Equip.",,0.0,0.0,0.0,19.99,2.0,0,,
66188,64664.0,,0,"PERMA-WRAP, 3"" X 108"" KIT","Sales, Merchandise Equip.",,0.0,0.0,0.0,24.99,0.0,0,,
66189,64665.0,,0,"PERMA-WRAP, 3"" X 108"" KIT","Sales, Merchandise Equip.",,0.0,0.0,0.0,24.99,2.0,0,,
66190,64667.0,,0,2000 LUMEN WORK LIGHT,"Sales, Merchandise Equip.",,0.0,0.0,0.0,29.95,0.0,0,,
66191,64668.0,,0,2000 LUMEN WORK LIGHT,"Sales, Merchandise Equip.",,0.0,0.0,0.0,29.95,2.0,0,,
66192,64670.0,,0,"100' EXT. CORD, 12/3 BLUE SJTW","Sales, Merchandise Equip.",,0.0,0.0,0.0,49.95,0.0,0,,
66193,64671.0,,0,"100' EXT. CORD, 12/3 BLUE SJTW","Sales, Merchandise Equip.",,0.0,0.0,0.0,49.95,2.0,0,,
66194,64673.0,,0,"GLOVES, SPLIT LEATHER, LARGE","Sales, Merchandise Equip.",,0.0,0.0,0.0,9.95,0.0,0,,
66195,64674.0,,0,"GLOVES, SPLIT LEATHER, LARGE","Sales, Merchandise Equip.",,0.0,0.0,0.0,9.95,2.0,0,,
66196,64676.0,,0,"GLOVES, CAMO DRIVER, JUMBO","Sales, Merchandise Equip.",,0.0,0.0,0.0,9.95,0.0,0,,
66197,64677.0,,0,"GLOVES, CAMO DRIVER, JUMBO","Sales, Merchandise Equip.",,0.0,0.0,0.0,9.95,2.0,0,,
66198,64679.0,,0,"GLOVES, CAMO, SPLIT LEATHER, LARG","Sales, Merchandise Equip.",,0.0,0.0,0.0,11.95,0.0,0,,
66199,64680.0,,0,"GLOVES, CAMO, SPLIT LEATHER, LARG","Sales, Merchandise Equip.",,0.0,0.0,0.0,11.95,2.0,0,,
66200,64682.0,,0,"GLOVES, NAVY FLEECE, LARGE","Sales, Merchandise Equip.",,0.0,0.0,0.0,11.95,0.0,0,,
