KVC Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Actual Monthly Cashflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,% Tot Rev,PEG Target,,,,,,,,,,,,,,,,,
,June,July,August,September,October,November,December,TTM,January,February,March,April,May,June,July,August,September,October,November,December,TTM,January,February,March,April,May,June,July,August,September,October,November,December,TTM,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,TTM,,,T13_24M,January,February,March,April,May,June,July,August,September,October,November,December,TTM,% Tot Rev,PEG Targets,
,2021,2021,2021,2021,2021,2021,2021,,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,,,,,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,,,,
   Total Payroll & Benefits,"87,863","176,366","183,324","234,188","143,679","134,983","127,426","1,087,829","129,932","130,863","195,852","134,800","153,027","172,870","173,044","171,819","241,847","154,242","150,220","139,365","1,947,881","133,842","139,257","209,575","140,454","153,956","170,460","157,041","226,310","156,764","145,787","136,775","124,188","1,894,409","129,042","194,851","135,506","152,015","174,857","203,998","187,837","283,594","190,011","177,037","157,043","145,374","207,456","148,483","145,006","147,832","165,504","191,142","264,583","2,223,065",54.4%,40.0%,"1,967,930","140,000","210,000","140,000","150,000","165,000","205,000","175,000","275,000","190,000","175,000","140,000","140,000","2,105,000",47.0%,40.0%,
   Contract Labor,30,"8,583","14,891","9,535","2,969","15,500","10,519","62,027","1,605","11,340",682,911,"7,534","2,226","13,028","20,091","15,621","14,292","4,769","1,098","93,197",997,909,347,"1,204","15,064","22,035","13,469","16,153","12,966","12,846",675,0,"96,665",0,0,0,0,200,-462,300,535,"1,500",0,0,0,0,0,100,200,0,295,100,"2,730",0.1%,,"42,678",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,,
   Accounting & Professional,"8,642","5,316","2,243","1,702","4,908","9,408","3,228","35,447","8,015","6,853","2,450","10,625",379,"-1,003","2,138",567,"6,167","9,359","4,267","1,839","51,656","11,711",944,"8,614","1,848","2,713",623,"2,091","8,803","35,999","82,611","8,187","12,083","176,227","19,059","13,024","16,451","12,344","19,714","31,036","10,496","26,157","10,189","22,689","9,792","7,455","23,186","2,114","9,420","7,711","5,018","4,200","15,000","142,931",3.5%,1.5%,"269,807","15,000","2,500","12,500","15,000","2,500","2,500","15,000","2,500","2,500","15,000","2,500","2,500","90,000",2.0%,1.5%,
   Advertising,"4,506","4,540","7,021","4,947","2,872","4,565","4,489","32,940","2,225","23,695","2,748","5,466","11,474","9,434","1,217","8,323","2,318","1,076","6,011",146,"74,133",550,20,"1,478","1,364","1,623",986,869,616,"2,630",400,0,118,"10,654",412,"2,343","3,679","3,386","4,444","3,637","12,298","2,506","2,240","4,726","4,939",515,22,"1,884",834,"2,516","3,180","1,695","2,500","27,557",0.7%,1.5%,"33,963","1,000","1,000","1,000","1,000","2,500","2,500","2,500","2,500","2,500","2,500","1,000","1,000","21,000",0.5%,1.5%,
   Education & Training,438,"1,896",597,"2,177","4,275","10,313",516,"20,212",178,296,"1,044","1,567",282,324,"1,110","1,358",392,"3,961","6,004","1,256","17,772",409,335,310,200,"3,394",385,894,174,0,"3,017",671,"5,827","15,616","1,408","2,524",415,319,747,655,"1,510","1,395","1,530","2,348","8,180",500,"1,852","1,472","1,025",643,"1,964","1,190","1,200","23,299",0.6%,0.3%,"17,267","3,000","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","16,200",0.4%,0.3%,
   Office Expenses,"3,082","1,814","19,209","5,242","4,628","4,844","3,645","42,464","5,975","8,301","22,490","4,544","6,743","5,180","3,968","12,761","3,471","2,175","4,619","1,558","81,785","3,415","1,652","23,662",693,"3,973",897,"2,221","8,409","1,181","2,811","3,546",573,"53,033","3,936","4,241","9,771","6,234","12,733","3,035","2,472","10,432","5,327","13,189","2,482","11,670","2,410","2,632","2,539","10,369","4,955","2,581","5,000","73,586",1.8%,1.5%,"58,942","3,000","3,000","10,000","5,000","5,000","12,500","5,000","5,000","12,500","5,000","3,000","10,000","79,000",1.8%,1.5%,
   Occupancy Expense,"16,700","38,798","22,607","27,622","34,630","43,033","36,633","220,023","27,567","29,589","28,496","33,958","37,838","30,372","31,981","29,848","54,561","32,915","28,061","29,016","394,202","22,561","29,667","33,749","31,185","38,246","36,231","25,165","28,107","28,222","34,256","28,317","28,348","364,054","50,122","77,548","132,073","33,511","54,166","110,867","44,778","10,902","35,425","55,027","33,301","32,966","35,212","40,904","40,360","42,519","57,262","44,916","40,000","468,794",11.5%,10.0%,"650,315","30,500","31,000","35,000","30,000","35,000","40,000","40,000","40,000","37,500","40,000","31,000","30,500","420,500",9.4%,10.0%,
Total Expenses,"121,261","289,539","269,892","305,413","228,929","311,388","241,924","1,768,346","205,286","277,738","296,237","215,412","286,781","324,226","293,915","274,767","354,377","253,020","233,951","204,278","3,219,988","210,921","203,108","349,484","211,116","282,073","291,780","301,997","326,781","273,276","430,363","207,834","205,305","3,294,038","233,642","324,194","364,805","252,593","318,135","405,679","376,738","391,749","311,158","328,118","271,698","229,241","305,404","228,250","231,044","252,479","297,174","305,301","424,519","3,576,135",87.5%,,"3,719,345","227,500","278,700","229,700","237,200","301,200","378,700","358,700","391,200","286,200","283,700","218,700","215,200","3,406,700",76.0%,,
Net Income,"387,841","86,199","193,128","130,150","149,701","-125,350","-149,667","672,002","-186,426","-217,343","-184,346","-69,150","58,995","212,591","28,875","164,462","27,015","117,427","-78,463","-85,295","-211,658","-106,737","-132,114","-241,399","-66,980","84,544","252,591","22,897","88,402","79,273","-96,819","2,035","-18,654","-132,961","-164,054","-236,650","-283,435","-72,195","96,416","206,054","10,134","46,039","127,568","57,496","-41,563","-62,306","-233,013","-143,027","-125,716","-55,168","62,531","308,253","-104,941","-163,847",-4.0%,10.0%,"-389,493","-145,625","-181,075","-119,450","-38,200","176,800","303,550","41,800","66,800","182,550","184,550","-19,200","-47,700","404,800",9.0%,10.0%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,, $-   ,,,,,,,,,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,, $-   ,,,,,,,,,,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total COGS,,,,,,#REF!,#REF!,,#REF!,#REF!,#REF!,,,,#REF!,#REF!,,,,,,,,,,,#REF!,#REF!,#REF!,,,,,,,,,,,#REF!,#REF!,#REF!,,,,,,,,,,#REF!,#REF!,,,,,,,,,,#REF!,#REF!,#REF!,,,,,,,,
,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
